pmid,title,abstract,journal,pub_date
41930749,Feasibility of Early Oral Nutritional Supplementation After Liver Transplantation: A Randomized Pilot Study.,"Catabolic and inflammatory changes after liver transplantation (LT) increase energy and protein requirements. This study assessed the feasibility of a 12-week high-energy/high-protein oral nutrition supplementation (ONS) initiated after resumption of solid oral intake post-LT. Secondary objectives were 1) to describe changes in nutritional risk, muscle strength, and quality of life during the pre-transplant period, and 2) to explore the potential impact of ONS after LT on these outcomes and musc...",Clinical transplantation,2026-Apr
41923280,Real-World Effectiveness and Safety of Saccharomyces boulardii CNCM I-745 as Adjunct Therapy for Helicobacter pylori Eradication: Data From the European Registry on H. pylori Management (Hp-EuReg).,Saccharomyces boulardii CNCM I-745 (Sb) is one of the most widely used probiotics in clinical practice. The aim of this study was to assess the impact of adding Sb to Helicobacter pylori eradication therapy on treatment outcomes (effectiveness and safety) in routine European gastroenterology clinical practice.,Helicobacter,2026
41922785,Polydopamine cross-linked Bifidobacterium single cell core-shell system with multi-target regulation to alleviate constipation in mice.,"Bisazolidine (BD) to alleviate constipation by stimulating intestinal nerves and increasing the secretion of water and electrolytes. However, it is prone to cause serious side effects, such as electrolyte imbalance and drug dependence. Bifidobacterium, can alleviate constipation from the root through a series of biological cascade reactions, such as ""regulating the flora, promoting acid production, softening feces, and anti-inflammatory repair"". But Bifidobacterium has the characteristic of slow...",Archives of microbiology,2026-Apr
41921586,The applications and challenges of polyhydroxybutyrate (PHB) as ketobiotics in food science.,"Polyhydroxybutyrate (PHB), as a representative member of the polyhydroxyalkanoate (PHA) family, has traditionally been regarded as an eco-friendly biomaterial due to its biodegradability and biocompatibility. In recent years, studies on gut microbiota have revealed its unique ""ketone donor"" property - by slowly releasing 3-hydroxybutyrate (3-HB) in the gut, it achieves precise regulation of the symbiotic interaction between the microbiota and the host, enabling it to break away from the traditio...",Biotechnology advances,2026
41918874,Integrative multi-omics analysis reveals probiotic-induced microbiota shifts in women with gestational diabetes.,"Gestational diabetes mellitus (GDM) is a common pregnancy disorder. It is associated with impaired glucose tolerance and insulin resistance, increasing the potential risks for both maternal and fetal complications. GDM is associated with an increased risk of type 2 diabetes later in life. Management is a big issue in maternal health. New work has underscored the role of the gut microbiota in metabolism and immune function. This indicates that probiotics might exert their mode of action through m...",Frontiers in cellular and infection microbiology,2026
41918422,Determination of diuretics in the whey protein supplements: uncovering hidden contaminants in the sports nutrition market.,"The widespread use of whey protein supplements raises concerns about contamination with banned diuretics, posing health risks and the potential for inadvertent doping. In this study, a liquid-liquid extraction (LLE) procedure coupled with liquid chromatography-tandem mass spectrometry (LC-MS/MS) was developed and validated for the simultaneous detection of 23 diuretics in whey protein supplements. The method was assessed for selectivity, linearity, matrix effect, recovery, precision, and sensiti...",Acta chimica Slovenica,2026-Jan
41916937,Magnesium supplementation as an adjunct to fluoxetine therapy for depression.,To evaluate the effectiveness of magnesium supplementation as an adjunct to fluoxetine therapy for improving depressive symptoms and serum serotonin levels in patients with depression.,East Asian archives of psychiatry : official journal of the Hong Kong College of Psychiatrists = Dong Ya jing shen ke xue zhi : Xianggang jing shen ke yi xue yuan qi kan,2026-Mar
41914920,Dietary Vitamin E and Selenium Supplementation Mitigates Saline Drinking Water-Induced Stress in Crossbred Muscovy Ducks.,"This study evaluated the effects of vitamin E and selenium supplementation on growth efficiency and physiological adaptation of Muscovy ducks consuming diluted seawater. The experiment used a completely randomized design with four treatments and five replicates, including fresh water (FW); diluted seawater at 0.45% (DSW); S1: DSW supplemented with vitamin E (20 mg/kg diet) and selenium (0.3 mg/kg diet); S2: DSW supplemented with vitamin E (40 mg/kg diet) and selenium (0.6 mg/kg diet). The result...",Animal science journal = Nihon chikusan Gakkaiho,2026
41914100,Does Vitamin D₃ Supplementation Improve Exercise Tolerance of D₃ Deficient Chronic Obstructive Lung Disease Patients? - A Randomized Controlled Trial.,"Newer functional aspects of vitamin D₃ have been revealed in tissue and organs other than bones. In several studies, vitamin D₃ supplementation showed significant improvement in exercise tolerance in various co-morbid patients but precise connection is not clear, in Chronic Obstructive Pulmonary Disease (COPD) patients. This study aimed to evaluate the effects of vitamin D₃ supplementation on exercise tolerance in D₃ deficient patients with COPD. A double-blinded randomized controlled trial was ...",Mymensingh medical journal : MMJ,2026-Apr
41910295,A randomized controlled trial of probiotics to reduce the severity of oral mucositis in patients with oropharyngeal carcinoma undergoing concurrent chemoradiotherapy.,"While probiotics show promise in reducing chemoradiotherapy side effects like oral mucositis in head and neck cancer patients, robust clinical evidence of their consistent effectiveness is still needed. The objectives of this study were to compare the incidence and severity of oral mucositis, dysphagia, and compliance of radiotherapy treatment between the study arm (oral probiotics, along with concurrent chemoradiotherapy) and the control arm (concurrent chemoradiotherapy alone) in patients of l...",Journal of cancer research and therapeutics,2026-Jan
41910214,Limosilactobacillus reuteri normalizes gut microbiota dysfunction and social deficits of rat offspring associated with prenatal exposure to stress.,"Prenatal stress (PS) is a potential risk factor for social behavior impairment in offspring. Here, we demonstrate that PS induces gut microbiota alterations that are associated with impaired sociability and social novelty preference in rat offspring. In addition, we found that these behavioral deficits could be partially rescued through either cohousing with normal offspring or fecal microbiota transplantation from control donors. Metagenomic analysis identified Limosilactobacillus reuteri (L. r...",Gut microbes,2026-Dec
41906504,"Effects of a Lactobacillus salivarius probiotic short-term intervention on S. mutans, Lactobacillus spp. and C. albicans - a randomized pilot study with pre-school children.","The aim of the study is to evaluate the effect of short-term, oral supplementation of non-viable Lactobacillus salivarius (HM6 Paradens) on the number of caries-related microorganisms in the supragingival plaque biofilm of pre-school children.",Annals of agricultural and environmental medicine : AAEM,2026-Mar
41905960,"Lactobacillus acidophilus Postbiotics Differentially Modulate Nutrient Sensing, Intestinal Barrier Integrity, and Inflammatory Signaling in Broiler.","The global restriction of antibiotic growth promoters (AGPs) has accelerated the search for sustainable nutritional alternatives that support growth performance and intestinal health of poultry. Postbiotics and their bioactive metabolites derived from probiotic microorganisms have emerged as promising candidates due to their functional stability and immunometabolic regulatory potential. This study evaluated the effects of Lactobacillus acidophilus-derived postbiotics on growth performance, nutri...",Comprehensive Physiology,2026-Apr
41905693,Supplementation of glucomannans ameliorate high-fat diet-induced cognitive impairment via a gut microbiota-metabolite-glutamatergic synapse axis.,"High-fat diets (HFDs) induce cognitive impairment and increase neurodegeneration risk. Glucomannans (GMs) targeting the gut-brain axis are a promising dietary strategy, but the efficacy of specific glucomannans and their mechanisms remain unclear. This study aimed to prepare GMs from various food sources, including Dendrobium officinale, konjac, and Aloe vera, and evaluate their potential to mitigate HFD-induced cognitive impairment. All the GMs improved behavioral performance, attenuated hippoc...",International journal of biological macromolecules,2026-Apr
41903526,Vaginal microbiota impacts of a Lactobacillus crispatus live biotherapeutic and predictors of colonization in randomized controlled trial.,"Bacterial vaginosis (BV) affects >25% of women worldwide and often recurs after standard-of-care metronidazole (MTZ) treatment. LACTIN-V, a live biotherapeutic product (LBP) containing Lactobacillus crispatus strain CTV-05, significantly reduced recurrent BV in a phase 2b clinical trial, but efficacy was incomplete. Here, we characterize microbiota and immune effects using multi-omics and define correlates of treatment success. By week 12, an L. crispatus-dominant microbiota was achieved in 30% ...",Cell host & microbe,2026-Apr
41901740,Native Bacillus-Based Probiotic Consortia Suppress Vibrio parahaemolyticus and Restructure Hatchery Water Microbiomes in Shrimp Larval Systems.,"Shrimp aquaculture is constrained by opportunistic bacterial pathogens, particularly Vibrio parahaemolyticus, whose proliferation in hatchery systems is shaped by microbial community structure. We evaluated the antagonistic activity and microbiome effects of two native Bacillus-based probiotic consortia (CN5, RS3) applied alone or combined (MIX) in shrimp larval culture water over 30 days, relative to a no-probiotic control. Treatments were assessed using standardized in vitro inhibition assays,...","Pathogens (Basel, Switzerland)",2026-Mar
41901543,"Nutritional Status in Obesity: A Comprehensive Narrative Review of Dysbiosis, Micronutrient Deficiencies and the Effects of Probiotics/Synbiotics.","Obesity is a chronic, relapse-prone disease often associated with comorbidities such as type 2 diabetes, dyslipidemia, and non-alcoholic fatty liver disease. Intestinal dysbiosis, defined as an imbalance in the composition and function of the gut microbiota, is commonly observed in individuals with excess body weight and plays a key role in the development of related metabolic complications. Moreover, dysbiosis can disrupt nutrient metabolism, leading to imbalances in energy homeostasis. Those a...","Medicina (Kaunas, Lithuania)",2026-Feb
41901188,Gut Microbiota Changes Following Short-Term Probiotic Supplementation in Older Home Enteral Nutrition Patients.,"Home Enteral Nutrition (HEN) patients, often older adults, are susceptible to gut microbiota dysbiosis and low-grade chronic inflammation (inflammaging), which negatively impacts overall health and intestinal integrity. However, evidence on microbiota-targeted interventions in this population remains limited. The development of targeted nutritional strategies, such as probiotic supplementation, has been proposed to address these age-related changes.",Nutrients,2026-Mar
41901170,Vitamins as Modulators of Neurodegenerative Disease Pathways: Mechanisms and Therapeutic Perspectives.,"Neurodegenerative diseases, including Alzheimer's disease, Parkinson's disease, and amyotrophic lateral sclerosis, currently represent one of the major challenges in contemporary medicine and geriatrics. Progressive degeneration of the nervous system affects not only patients' physical functioning but also their psychosocial well-being, often leading to social isolation and disruption of interpersonal relationships. These processes are most strongly associated with individuals over 65 years of a...",Nutrients,2026-Mar
41901166,Gut Microbiota Profile and the Impact of Probiotic Supplementation in Competitive Cyclists: A Scoping Review.,"Background/Objectives: The recent discovery of the importance of gut microbiota has enhanced our understanding of several issues related to energy metabolism, immune systems, and post-exercise recovery, which could have an impact on sports performance. Probiotics are used as sports supplements and have recently been proposed to be effective in reducing the incidence of gastrointestinal and respiratory infections during training and competition. This scoping review aimed to evaluate the gut micro...",Nutrients,2026-Mar
41901156,"Personalized Nutrition, Lifestyle, and Supplementation Strategies to Support Cognitive Performance and Well-Being in Esports Athletes: A Narrative Review.","Esports are a rapidly expanding form of competitive activity that demand high levels of cognitive alertness, motor precision, stress management, and resilience to mental and physical fatigue. At the same time, the sedentary lifestyle, extended screen exposure, and psychological pressures associated with competitive gaming raise concerns for both performance and long-term health. Growing evidence highlights the importance of nutrition and lifestyle behaviors in supporting cognitive performance an...",Nutrients,2026-Mar
41901133,Selenium-Biofortified Probiotics: A Synergistic Microbial-Nutritional Strategy Against Exercise-Induced Stress.,"This review aims to explore the potential and mechanisms of selenium-biofortified probiotics as an innovative nutritional strategy for alleviating exercise-induced physiological stress. Exercise, particularly high-intensity or exhaustive exercise, triggers a cascade of physiological perturbations, including oxidative stress, inflammatory responses, gut barrier dysfunction, and muscle damage. Traditional single-nutrient strategies, such as inorganic selenium or probiotic supplementation, are ofte...",Nutrients,2026-Mar
41901124,From Macromolecule to Microbe: Identification of Ligilactobacillus salivarius D3-8 as a Key Degrader of Ejiao and a Novel Therapeutic Probiotic for Ulcerative Colitis.,"Background/Objectives: Ejiao, a macromolecular protein complex derived from donkey hide, is a traditional Chinese medicine with clinically demonstrated efficacy against ulcerative colitis (UC). Due to its large molecular size and poor absorbability, its therapeutic effects are presumed to depend on gut microbiota. We hypothesized that specific gut bacteria capable of degrading Ejiao might also mediate its biological functions. Methods: To test this hypothesis, a systematic investigation was cond...",Nutrients,2026-Mar
